TP,TM_FC,SEQ,TM_EQK,MSC,MT,LAT,LON,LOC,INT,REM,COR
3,200204010800,16,20020401074601.009,2.5,37.3000,128.1000,강원 원주 남동쪽 약 15km 지역,유감(MM 진도값)\n 진도 II : 원주, 횡성,,
1,200204141240,17,20020414122958.009,2.4,35.1000,125.0000,전남 흑산도 북서쪽 약 60km 해역,무감,,,=
1,200204170800,18,20020417075240.008,3.9,40.5000,128.5000,함경남도 북청 북동쪽 약 30km 지역,무감,북한 지역으로 유감 여부를 확인할 수 없음.,,=
1,200205291832,19,20020529182216.006,3.9,34.7000,127.9000,전남 여수 동쪽 약 15km 지역,무감,여수기상대 확인 결과 무감임.,,=
1,200205291832,19,20020529182216.006,2.8,34.7000,127.9000,전남 여수 동쪽 약 15km 지역,무감,여수기상대 확인 결과 무감임.,,=
1,200206072236,20,20020607222414.006,2.8,38.4000,125.3000,황해도 남포 남쪽 약 40km 지역,무감,백령도기상대 확인결과 무감임.\n,,=
1,200206231122,21,20020623111257.003,2.0,34.7000,126.6000,전남 영암 남서쪽 약 15km 지역,무감,목포기상대 확인결과 무감임.\n,,=
1,200207020200,22,20020702014906.005,2.3,35.8000,128.0000,경남 거창 북동쪽 약 15km 지역,무감,거창 기상관측소에 확인결과 무감임.\n,,=
3,200207090415,23,20020709040151.002,3.8,35.9000,129.6000,경북 포항 남동쪽 약 25km 해역,유감\n진도 III :포항\n진도 II  :울산,지금까지 조사된 바에 의하면 이 지진으로 인하여 울산과 포항지역에서 \n약한 진동이 감지되였음.\n,,=
3,200207090415,23,20020709040151.002,3.8,35.9000,129.6000,경북 포항 남동쪽 약 25km 해역,유감\n진도 III :포항\n진도 II  :울산,지금까지 조사된 바에 의하면 이 지진으로 인하여 울산과 포항지역에서 \n약한 진동이 감지되였음.\n,,=
1,200207120000,24,20020712081737.004,2.1,35.9000,129.8000,경북 포항 동남동쪽 약 40km 해역,무감\n,포항기상대, 울산기상대에 확인 결과 무감임.,
1,200207170710,25,20020717065025.006,3.3,38.0000,124.4000,인천광역시 백령도 서쪽 약 25km 해역,무감\n,백령도 기상대에 확인결과 무감임.,,=
1,200208060000,26,20020806073239.004,3.0,34.7000,127.4000,전남 고흥 북동쪽 약 15km 지역,무감\n,여수기상대와 고흥기상관측소 확인 결과 무감임,,=
1,200208060000,26,20020806073239.004,3.0,34.7000,127.4000,전남 고흥 북동쪽 약 15km 지역,무감\n,여수기상대와 고흥기상관측소 확인 결과 무감임,,=
1,200208060000,27,20020806213757.008,2.5,35.7000,127.6000,전북 장수 북동쪽 약 5km 지역,무감\n,장수기상관측소 확인 결과 무감임,,=
1,200208100000,28,20020810214735.004,4.0,35.1000,123.4000,전남 흑산도 서북서쪽 약 195km 해역 ,무감\n,흑산도기상대와  군산기상대 확인결과 무감임,,=
1,200208130000,29,20020813160718.002,2.7,35.1000,152.2000,전남 흑산도 북북서쪽 약 50km 해역 ,무감\n,흑산도기상대와  목포기상대에 확인 결과 무감임,,=
2,200208130000,29,20020813160718.002,2.7,35.1000,125.2000,전남 흑산도 북북서쪽 약 50km 해역 ,무감\n,흑산도기상대와  목포기상대에 확인 결과 무감임,,=
1,200208130000,29,20020813160718.002,2.7,35.1000,125.2000,전남 흑산도 북북서쪽 약 50km 해역 ,무감\n,흑산도기상대와  목포기상대에 확인 결과 무감임,,=
1,200209151652,30,20020915164000.003,2.5,35.9000,129.7000,경북 포항 동남동쪽 약 30km 해역 ,무감\n,포항기상대와  울산기상대에 확인 결과 무감임,,=
1,200209160750,31,20020916073606.008,2.8,36.1000,128.3000,경북 구미 지역,무감\n,구미기상관측소와  대구기상대에 확인 결과 무감임,,=
1,200209190325,32,20020919031012.008,2.9,35.6000,125.4000,전남 영광 서북서쪽  약 95km 해역,무감\n,목포기상대, 군산기상대에 확인한  결과  무감임,
1,200210040220,33,20021004020631.008,2.4,38.1000,126.4000,전남 영광 서북서쪽  약 95km 해역,무감\n,문산기상대, 동두천기상대에 확인한  결과  무감임,
1,200210040220,33,20021004020631.008,2.4,38.1000,126.4000,북한 개성 북서쪽 약 15km 지역,무감\n,문산기상대, 동두천기상대에 확인한  결과  무감임,
1,200210162000,34,20021016194858.009,2.4,36.6000,127.6000,충북 청주 남동쪽 약 10km 지역,무감\n,청주기상대에 확인한  결과  무감임,,=
